kód obce;název obce;voliči v seznamu;vydané obálky;platné hlasy;ANO 2011;Občanská demokratická strana;Svob.a př.dem.-T.Okamura (SPD);Česká pirátská strana;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;TOP 09;Křesť.demokr.unie-Čs.str.lid.;Strana svobodných občanů;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;REALISTÉ;SPORTOVCI;Strana Práv Občanů;SPR-Republ.str.Čsl. M.Sládka;Řád národa - Vlastenecká unie;Dělnic.str.sociální spravedl.;Občanská demokratická aliance;Blok proti islam.-Obran.domova;Referendum o Evropské unii;Radostné Česko;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Unie H.A.V.E.L.;Česká strana národně sociální
535711;Dolní Krupá;194;96;96;20;10;20;3;13;10;9;1;2;3;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0
535729;Dolní Slivno;275;163;163;57;21;14;18;8;23;12;1;3;0;0;1;2;0;0;0;2;0;0;0;0;1;0;0;0;0
570940;Dolní Stakory;196;152;152;60;21;14;12;9;9;5;10;7;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0
535745;Domousnice;213;130;129;38;10;10;14;12;11;17;2;1;5;5;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0
571067;Doubravička;102;70;70;29;6;7;6;1;11;4;3;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
535818;Horky nad Jizerou;420;268;267;103;32;29;30;24;11;12;4;3;2;4;5;3;1;0;1;1;0;0;0;1;0;0;0;0;1
535834;Horní Bukovina;197;132;132;48;6;10;15;12;19;7;3;4;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
599531;Horní Slivno;227;126;126;40;11;15;9;9;20;2;9;4;3;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
535869;Hrdlořezy;517;336;335;92;55;49;19;27;22;32;8;8;6;8;4;0;2;2;0;0;0;0;0;1;0;0;0;0;0
565733;Hrušov;161;102;102;29;3;14;9;11;6;16;2;3;2;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0
599522;Husí Lhota;121;95;95;34;10;12;9;5;10;5;3;3;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
565784;Charvatce;212;144;143;45;19;18;17;6;6;15;5;4;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3
535923;Chocnějovice;339;209;207;51;22;19;27;16;21;23;10;6;1;0;3;6;0;0;1;0;0;0;1;0;0;0;0;0;0
535931;Chotětov;801;420;419;150;48;42;41;16;20;38;16;14;6;5;5;4;3;3;0;1;1;1;2;0;2;0;0;1;0
571849;Chudíř;162;111;111;39;10;13;9;13;7;3;2;5;2;2;1;0;1;0;0;0;2;1;0;0;0;0;0;0;1
535966;Jabkenice;353;225;225;96;22;14;23;15;13;19;4;9;2;3;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0
535974;Jivina;362;248;247;65;26;21;22;34;23;24;5;4;3;5;6;1;2;3;1;0;2;0;0;0;0;0;0;0;0
566039;Jizerní Vtelno;277;197;196;74;20;40;17;13;7;4;9;3;2;2;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0
529613;Josefův Důl;331;170;168;44;22;22;12;34;7;12;2;1;2;1;5;0;1;1;0;0;1;0;0;0;0;0;0;0;1
536008;Katusice;630;356;354;145;22;34;39;16;29;41;5;7;1;6;5;1;0;2;0;0;0;0;1;0;0;0;0;0;0
536024;Klášter Hradiště nad Jizerou;706;434;433;134;30;33;67;44;48;31;19;5;4;3;9;1;2;0;1;0;1;0;0;0;0;0;0;1;0
571075;Kluky;66;55;54;16;7;2;6;4;10;3;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
536041;Kněžmost;1595;1034;1029;371;119;93;128;59;97;55;40;15;9;13;5;4;5;1;1;2;2;2;1;2;0;1;1;3;0
571172;Kobylnice;107;87;86;18;14;12;12;2;6;8;8;2;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
536067;Kochánky;348;244;243;84;27;26;31;18;13;22;6;0;6;1;1;1;1;0;0;4;0;0;1;0;0;0;0;1;0
570974;Kolomuty;258;179;177;48;36;6;12;15;17;18;12;6;1;2;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0
